-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.022,  0.115
-183.800, 80.199, 0.021,  0.148
-183.800, 80.199, 0.020,  0.181
-183.800, 80.198, 0.021,  0.214
-183.800, 80.198, 0.025,  0.247
-183.800, 80.197, 0.045,  0.280
-183.799, 80.193, 0.111,  0.313
-183.798, 80.187, 0.194,  0.346
-183.794, 80.177, 0.295,  0.379
-183.788, 80.164, 0.411,  0.412
-183.780, 80.147, 0.505,  0.445
-183.768, 80.126, 0.630,  0.478
-183.753, 80.103, 0.721,  0.511
-183.736, 80.076, 0.849,  0.544
-183.716, 80.044, 1.026,  0.577
-183.695, 80.007, 1.192,  0.610
-183.673, 79.964, 1.357,  0.643
-183.650, 79.916, 1.523,  0.676
-183.626, 79.863, 1.677,  0.709
-183.602, 79.806, 1.809,  0.742
-183.578, 79.746, 1.890,  0.775
-183.555, 79.685, 1.932,  0.808
-183.531, 79.624, 1.947,  0.841
-183.508, 79.563, 1.942,  0.874
-183.485, 79.503, 1.922,  0.907
-183.462, 79.444, 1.891,  0.940
-183.440, 79.386, 1.853,  0.973
-183.417, 79.330, 1.808,  1.006
-183.395, 79.275, 1.760,  1.039
-183.374, 79.223, 1.686,  1.072
-183.353, 79.173, 1.625,  1.105
-183.333, 79.124, 1.575,  1.138
-183.312, 79.077, 1.536,  1.171
-183.292, 79.030, 1.514,  1.204
-183.271, 78.983, 1.513,  1.237
-183.250, 78.936, 1.534,  1.270
-183.229, 78.888, 1.575,  1.303
-183.207, 78.837, 1.626,  1.336
-183.185, 78.785, 1.679,  1.369
-183.162, 78.732, 1.740,  1.402
-183.140, 78.676, 1.806,  1.435
-183.117, 78.618, 1.866,  1.468
-183.093, 78.558, 1.903,  1.501
-183.071, 78.498, 1.918,  1.534
-183.048, 78.439, 1.912,  1.567
-183.026, 78.379, 1.891,  1.600
-183.004, 78.321, 1.861,  1.633
-182.983, 78.264, 1.822,  1.666
-182.963, 78.209, 1.759,  1.699
-182.943, 78.156, 1.708,  1.732
